anio,credito_total,promedio_departamental
2016,264719.075143,10588.76300572
2017,278284.179954,11131.36719816
2018,307891.410073,12315.65640292
2019,327729.343495,13109.1737398
2020,369826.10316199996,14793.04412648
2021,395349.617172,15813.98468688
2022,407858.041969,16314.321678760001
2023,404773.309218,16190.93236872
2024,407351.742013,16294.06968052
2025,422203.02895999997,16888.1211584
