anio,departamento,credito_millones_soles,macroregion,crecimiento_anual,participacion
2025,Lima,307745.192979,Centro,3.106800590572445,0.728903328185635
2025,Arequipa,15532.730093,Sur,8.425212425689876,0.03678971733400707
2025,La Libertad,12461.625205,Norte,1.8653769813414378,0.029515717202920944
2025,Piura,9095.399773,Norte,0.5114071889507299,0.021542715587342953
2025,Junín,8548.123825,Centro,4.335690954244931,0.0202464767864322
2025,Cusco,7821.427491,Sur,7.863759323105635,0.018525275648226133
2025,Lambayeque,7713.060943,Norte,7.2548100908969015,0.01826860636693998
2025,Callao,6695.472423,Centro,6.471211939522226,0.015858418731605872
2025,Ica,6538.601872,Centro,3.124386199842011,0.015486866326151998
2025,Cajamarca,6036.89406,Norte,4.227977223756585,0.014298556964099712
2025,Puno,5306.475128,Sur,6.895495089740744,0.012568538745615542
2025,Áncash,4351.095852,Centro,1.698137799068089,0.01030569549137988
2025,San Martín,3907.94779,Oriente,4.036185331409925,0.00925608657907152
2025,Huánuco,2742.687555,Centro,8.2703587890538,0.006496134245545277
2025,Tacna,2711.712788,Sur,1.8447517818980463,0.006422769620293063
2025,Loreto,2548.451551,Oriente,8.491539067197063,0.006036080691504095
2025,Ayacucho,2159.604131,Sur,6.810047525587737,0.005115084409317688
2025,Ucayali,2097.931301,Oriente,1.5210953289825246,0.004969010540184354
2025,Apurímac,1867.261043,Sur,10.159228956952493,0.004422661409131924
2025,Moquegua,1342.521196,Sur,5.7099697312607445,0.0031798000106891514
2025,Madre de Dios,1273.599431,Oriente,14.871820916764333,0.0030165568308148315
2025,Amazonas,1116.971346,Norte,3.718677207550236,0.002645578713045716
2025,Pasco,1034.96194,Centro,4.471076506469918,0.0024513370795784923
2025,Tumbes,879.536567,Norte,9.913272773183879,0.002083207619723942
2025,Huancavelica,673.742677,Centro,5.109560524607848,0.0015957788807427792
