anio,departamento,credito_millones_soles
2024,Tacna,2662.594528
2024,Tumbes,800.209606
2024,Ucayali,2066.497898
2025,Amazonas,1116.971346
2025,Áncash,4351.095852
2025,Apurímac,1867.261043
2025,Arequipa,15532.730093
2025,Ayacucho,2159.604131
2025,Cajamarca,6036.89406
2025,Callao,6695.472423
2025,Cusco,7821.427491
2025,Huancavelica,673.742677
2025,Huánuco,2742.687555
2025,Ica,6538.601872
2025,Junín,8548.123825
2025,La Libertad,12461.625205
2025,Lambayeque,7713.060943
2025,Lima,307745.192979
2025,Loreto,2548.451551
2025,Madre de Dios,1273.599431
2025,Moquegua,1342.521196
2025,Pasco,1034.96194
2025,Piura,9095.399773
2025,Puno,5306.475128
2025,San Martín,3907.94779
2025,Tacna,2711.712788
2025,Tumbes,879.536567
2025,Ucayali,2097.931301
